,ProductName,ProductLink,PackSize,Price,Review,Rating,Discount
0,Tea Tree Facewash for acne & pimples,https://mamaearth.in/product/tea-tree-face-wash,100ml,₹249.00,"This tea tree infused anti acne face wash worked really well for me. It helped in controlling my breakouts. Great product! – Ritesh, 24
 I believe this to be the best face wash for acne and pimples for me. The face wash doesn’t dry out my face and at the same time has decreased my acne",4.9,N/A
1,Anti Hair Fall Kit for complete hair care,https://mamaearth.in/product/anti-hair-fall-kit,Kit,"₹1,199.00",Very nice it reduced hairfall very effective now hair looks more healthy,4.8,(25% off)
2,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",https://mamaearth.in/product/argan-hair-mask,200ml,₹599.00,Mamaearth onion hair mask is an awesome  product  it makes my hair look so good and has helped me reduce hair fall..worth buying product,4.8,N/A
3,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,https://mamaearth.in/product/ubtan-bamboo-sheet-mask-with-turmeric-saffron-for-skin-brightening-25-g,25g,₹149.00,It's amazing. Must try!,5,N/A
4,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin ,https://mamaearth.in/product/niacinamide-bamboo-sheet-mask-with-niacinamide-ginger-extract-for-clear-glowing-skin-25-g,25g,₹149.00,This niacinamide sheet mask helped me reduce acne marks and improves skin texture,5,N/A
5,Onion Shampoo and Onion Hair Serum,https://mamaearth.in/product/onion-shampoo-onion-hair-serum,Combo,₹634.00,I like all product. Very good quality and customer service,5,(2% off)
6,Onion Shampoo and Oil,https://mamaearth.in/product/onion-shampoo-oil-combo,Combo,₹924.00,It's really good...Must buy,5,(3% off)
7,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack,https://mamaearth.in/product/onion-shampoo-for-hair-growth-hair-fall-control-250-ml-pack-of-2,2,₹679.00,After the postpartum I had severe hairfall one of my friend had recommended the shampoo and conditioner. It had worked very well for me. My hairfall is also stop and I can new hair growth also.,5,(3% off)
8,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream,https://mamaearth.in/product/spotless-skin-combo,30ml,₹679.00,V useful combo .both products gives good effect on skin ...I had hyper pigmentation and bye bye blemishes cream worked well fr me . It's hydrating n gives moisturising effect. Clearing my black spots .ubtan face wash also cleans the blackness on face . Overall I m happy with the results,5,(3% off)
9,Anti Acne Kit,https://mamaearth.in/product/anti-acne-kit,Kit,₹849.00,I have dry skin .can i use this kit,5,(26% off)
