,ProductName,Category,Ingredients
0,Tea Tree Facewash for acne,Face Wash,Neem
1,Anti Hair Fall Kit for complete hair care,Hair Combo,Bhringraj Oil
2,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",Hair Mask,Argan Oil
3,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening,Face Mask,Turmeric
4,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin,Face Sheet Mask,Niacinamide
5,Onion Shampoo and Onion Hair Serum,Hair Serum,Red Onion
6,Onion Shampoo and Oil,Hair Oil,Onion Seed Oil
7,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack,Shampoo,Onion Seed Oil
8,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream,Face Wash,Walnut Beads
9,Anti Acne Kit,Face Combo,Turmeric
10,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth,Hair Serum,Red Onion
11,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml,Body Lotion,Vitamin C
12,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin,Body Lotion,Turmeric
13,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,Face Wash,Vitamin C
14,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,Face Wash,Vitamin C
15,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Face Cream,Vitamin C
16,Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination,Face Mask,Vitamin C
17,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination,Face Mask,Vitamin C
18,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",Hair Mask,Red Onion
19,Hairfall Control Kit,Hair Combo,Onion Seed Oil
20,Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair,Hair Combo,Argan Oil
21,Onion Hair Serum and Onion Hair Oil,Hair Oil,Red Onion
22,Onion Hair Oil for Hair Regrowth & Hair Fall Control,Hair Oil,Red Onion
23,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal,Face Scrub,Turmeric
24,"Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening,",Face Toner,Vitamin C
25,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair,Hair Gel,Aloe Vera
26,"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair ",Hair Serum,Onion Seed Extract
27,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars,Face Serum,Niacinamide
28,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric,Face Serum,Vitamin C
29,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles,Face Cream,Cucumber Extract
30,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant,Shampoo,Onion Seed Oil
31,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and,Conditioner,Onion Seed Oil
32,Tea Tree Shampoo for Dandruff Free Hair,Shampoo,Tea Tree Oil
33,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,Shampoo,Onion Seed Oil
34,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",Hair Mask,Onion Oil
35,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free,Conditioner,Tea Tree Oil
36,Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C,Face Cream,Vitamin C
37,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion",Hair Combo,Onion Seed Oil
38,Oil-Free Face Moisturizer for Acne-Prone,Face Mask,Apple Cider Vinegar
39,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++",Skin Combo,Carrot Seed Oil
40,"Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml and Ubtan",Skin Combo,Saffron
41,Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal,Face Mask,Saffron
42,Ubtan Face Wash for Tan,Face Wash,Turmeric
43,Tea Tree Facewash for acne,Face Wash,Tea Tree Oil
44,Anti Hair Fall Kit for complete,Hair Combo,Bhringraj Oil
45,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",Hair Mask,Argan Oil
46,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening,Face Mask,Turmeric
47,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin,Face Sheet Mask,Niacinamide
48,Onion Shampoo and Onion Hair Serum,Hair Serum,Red Onion
49,Onion Shampoo and Oil Combo,Shampoo,Onion Seed Oil
50,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack,Shampoo,Onion Seed Oil
51,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream,Face Cream,Walnut Beads
52,Anti Acne Kit,Face Combo,Turmeric
53,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth,Hair Serum,Red Onion
54,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml,Body Lotion,Vitamin C
55,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin,Body Lotion,Turmeric
56,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,Face Wash,Vitamin C
57,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,Face Wash,Vitamin C
58,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Face Cream,Vitamin C
59,Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination,Face Mask,Vitamin C
60,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination,Face Mask,Vitamin C
61,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",Hair Mask,Onion Oil
62,Hairfall Control Kit,Hair Combo,Onion Seed Oil
63,Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair,Conditioner,Argan Oil
64,Onion Hair Serum and Onion Hair,Hair Serum,Red Onion
65,Onion Hair Oil for Hair Regrowth & Hair Fall,Hair Oil,Onion Seed Oil
66,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal,Face Scrub,Turmeric
67,"Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening,",Face Toner,Vitamin C
68,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair,Hair Gel,Aloe Vera
69,"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair ",Hair Serum,Onion Seed Extract
70,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars,Face Serum,Niacinamide
71,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric,Face Serum,Vitamin C
72,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles,Face Cream,Cucumber Extract
73,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant,Shampoo,Onion Seed Oil
74,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and,Conditioner,Onion Seed Oil
75,Tea Tree Shampoo for Dandruff Free Hair,Shampoo,Tea Tree Oil
